row	fixture	mechanism	harness	vector-class	instantiation	expected-stage	expected-token	planted	outcome	altitude
p-c3: 2026-08-02T00:41:23Z	in-jail	legs=both	rows=H1 H2 H3 H4 H5
H1	light	fetch	pipeline	-	result committed on a history rebased off B — the pinned OID is not a descendant of the contracted base	conform	ancestry-not-descendant	S=cb5611aa5bd3e9a29f35a65e6b1f8b886728906d is NOT a descendant of B=7f43b8751234cc45a0b2fdee32a40538ca6a6a4b	pass	model-level
H1	light	bundle	pipeline	-	result committed on a history rebased off B — the pinned OID is not a descendant of the contracted base	conform	ancestry-not-descendant	S=cb5611aa5bd3e9a29f35a65e6b1f8b886728906d is NOT a descendant of B=7f43b8751234cc45a0b2fdee32a40538ca6a6a4b	pass	model-level
H1	heavy	fetch	pipeline	-	result committed on a history rebased off B — the pinned OID is not a descendant of the contracted base	conform	ancestry-not-descendant	S=b3d4a75b15800c82e0c214c2c9e94413a2d80f05 is NOT a descendant of B=4fc9d32f008c96b3f181f8dc0a1f163c02f59b9a	pass	model-level
H1	heavy	bundle	pipeline	-	result committed on a history rebased off B — the pinned OID is not a descendant of the contracted base	conform	ancestry-not-descendant	S=5f90ffcb76b6600730a35e5417666bf027da1eb0 is NOT a descendant of B=4fc9d32f008c96b3f181f8dc0a1f163c02f59b9a	pass	model-level
H2	light	fetch	pipeline	-	dissolution — the harvester PINS THE OID ITSELF, then fetches, then compares, so its guard covers only the window between its own rev-parse and its own fetch, inside one process. A mutate in the A-2 seam is upstream of BOTH reads, so pin and fetch agree and no mismatch is producible; git offers no seam that moves a ref during a fetch. The capsule gains nothing by rewriting (D-P05-8, F-P05-13)	dissolution		the ref moved ac10c2eef76af5116ddb0368a00aad1855522375 → 5dafad9fd7700f78372727451fe2bfab304fea14 after the ring; S is still a non-merge descendant of B	pass	model-level
H2	light	bundle	pipeline	-	dissolution — the harvester PINS THE OID ITSELF, then fetches, then compares, so its guard covers only the window between its own rev-parse and its own fetch, inside one process. A mutate in the A-2 seam is upstream of BOTH reads, so pin and fetch agree and no mismatch is producible; git offers no seam that moves a ref during a fetch. The capsule gains nothing by rewriting (D-P05-8, F-P05-13)	dissolution		the ref moved c664c219c50079374a167246ca6f8036de8265fb → da94c4dc7ffbd55636dcaf141c0045c176517de8 after the ring; S is still a non-merge descendant of B	pass	model-level
H2	heavy	fetch	pipeline	-	dissolution — the harvester PINS THE OID ITSELF, then fetches, then compares, so its guard covers only the window between its own rev-parse and its own fetch, inside one process. A mutate in the A-2 seam is upstream of BOTH reads, so pin and fetch agree and no mismatch is producible; git offers no seam that moves a ref during a fetch. The capsule gains nothing by rewriting (D-P05-8, F-P05-13)	dissolution		the ref moved 994a6004e0a745476d12bae2e38d2d011a0bbaea → 1ad88063c5fd78a3c43e05143eae197254869837 after the ring; S is still a non-merge descendant of B	pass	model-level
H2	heavy	bundle	pipeline	-	dissolution — the harvester PINS THE OID ITSELF, then fetches, then compares, so its guard covers only the window between its own rev-parse and its own fetch, inside one process. A mutate in the A-2 seam is upstream of BOTH reads, so pin and fetch agree and no mismatch is producible; git offers no seam that moves a ref during a fetch. The capsule gains nothing by rewriting (D-P05-8, F-P05-13)	dissolution		the ref moved 8403475f44399d8dfb8fe382c9e371f842897848 → 4d9d03ec6a40c4954f56b353fed215aeee36a501 after the ring; S is still a non-merge descendant of B	pass	model-level
H3	light	fetch	pipeline	-	a merge commit inside the result range — I3 ordering: the no-merge leg runs before path conformance, so this token and not undeclared-path	conform	ancestry-merge-commit	merge commit(s) in B..S: c9392831b34111a12931afa68e9e7a7d08ecf4b3	pass	model-level
