row	observable	outcome	detail
p-c2: 2026-08-01T15:29:32Z	in-jail	rows=write-floor canonical git-creds api-cred env escape-git resource
write-floor	sentinel absent at /workspace/doctrine, /tmp and /home/david/capsules; present at the capsule root (control)	pass	writes outside the rw bind reach nowhere; /tmp is a tmpfs inside, so the write succeeds and is simply invisible — the observable is the host path, never the write status
canonical	/workspace/doctrine, /home/david/capsules and /home/david/capsules/fixtures/light/repo do not resolve inside; git -C <canonical> finds no repository; /nix/store does (control)	pass	absent by construction under an allowlist floor — asserted anyway, because by-construction is exactly what a later profile edit breaks silently
git-creds	no credential helper on the effective cascade (control: one IS detected when present); /home/david does not resolve; the file:// target gains no ref (control: it is pushable from out here)	pass	the push legs assert on the DESTINATION, never on stderr wording — "fails on transport, not policy prose" is not readable from an error message
api-cred	HOME=/agent and /agent/.claude resolves read-only inside; A2 recorded an authenticated claude -p run	pass	the admitted secret, named: its blast radius is API usage, accepted (probe-specs P-C2). Authentication itself is A2 evidence, cited not re-run
env	no variable inside names /workspace/doctrine, /home/david/capsules or /home/david; SPIKE_CAPSULE_ROOT/SPIKE_WORKER_MODE/DOCTRINE_BIN do not cross (each proven set out here); RIG_DOORBELL does (control)	pass	asserted over VALUES as well as names — PATH is rebuilt from /nix/store entries only, so a host PATH entry under the host home would surface here
escape-git	capsule.escaped is set in the capsule's own .git/config; /capsule/hook-fired exists (control: the hook ran); no sentinel at /workspace/doctrine, /tmp or /home/david/capsules	pass	allowed and contained: hooks execute with the capsule as their whole world. Ingestion is where this matters (P-C3), and this row is what makes that a real precondition rather than an assumption
resource	status 124 and elapsed < 30s for a 600s sleep under a 3s bound; status 4 for a 64MiB write under an 8MiB cap; both controls (a short run and a small write) succeed	pass	STATUSES, not tokens — the bounds are trusted-side and emit no vocabulary (I5). PHASE-02 probe-capsule bounds carries the exhaustive treatment, including the sparse-oversize leg that separates ulimit -f from du, and both capsule kinds; this row is the P-C2 matrix entry EX-6 requires
p-c2: 2026-08-01T17:04:06Z	in-jail	rows=write-floor canonical git-creds api-cred env escape-git resource
write-floor	sentinel absent at /workspace/doctrine, /tmp and /home/david/capsules; present at the capsule root (control)	pass	writes outside the rw bind reach nowhere; /tmp is a tmpfs inside, so the write succeeds and is simply invisible — the observable is the host path, never the write status
canonical	/workspace/doctrine, /home/david/capsules and /home/david/capsules/fixtures/light/repo do not resolve inside; git -C <canonical> finds no repository; /nix/store does (control)	pass	absent by construction under an allowlist floor — asserted anyway, because by-construction is exactly what a later profile edit breaks silently
git-creds	no credential helper on the effective cascade (control: one IS detected when present); /home/david does not resolve; the file:// target gains no ref (control: it is pushable from out here)	pass	the push legs assert on the DESTINATION, never on stderr wording — "fails on transport, not policy prose" is not readable from an error message
api-cred	HOME=/agent and /agent/.claude resolves read-only inside; A2 recorded an authenticated claude -p run	pass	the admitted secret, named: its blast radius is API usage, accepted (probe-specs P-C2). Authentication itself is A2 evidence, cited not re-run
env	no variable inside names /workspace/doctrine, /home/david/capsules or /home/david; SPIKE_CAPSULE_ROOT/SPIKE_WORKER_MODE/DOCTRINE_BIN do not cross (each proven set out here); RIG_DOORBELL does (control)	pass	asserted over VALUES as well as names — PATH is rebuilt from /nix/store entries only, so a host PATH entry under the host home would surface here
escape-git	capsule.escaped is set in the capsule's own .git/config; /capsule/hook-fired exists (control: the hook ran); no sentinel at /workspace/doctrine, /tmp or /home/david/capsules	pass	allowed and contained: hooks execute with the capsule as their whole world. Ingestion is where this matters (P-C3), and this row is what makes that a real precondition rather than an assumption
resource	status 124 and elapsed < 30s for a 600s sleep under a 3s bound; status 4 for a 64MiB write under an 8MiB cap; both controls (a short run and a small write) succeed	pass	STATUSES, not tokens — the bounds are trusted-side and emit no vocabulary (I5). PHASE-02 probe-capsule bounds carries the exhaustive treatment, including the sparse-oversize leg that separates ulimit -f from du, and both capsule kinds; this row is the P-C2 matrix entry EX-6 requires
p-c2: 2026-08-01T17:04:44Z	in-jail	rows=write-floor canonical git-creds api-cred env escape-git resource
write-floor	sentinel absent at /workspace/doctrine, /tmp and /home/david/capsules; present at the capsule root (control)	pass	writes outside the rw bind reach nowhere; /tmp is a tmpfs inside, so the write succeeds and is simply invisible — the observable is the host path, never the write status
canonical	/workspace/doctrine, /home/david/capsules and /home/david/capsules/fixtures/light/repo do not resolve inside; git -C <canonical> finds no repository; /nix/store does (control)	pass	absent by construction under an allowlist floor — asserted anyway, because by-construction is exactly what a later profile edit breaks silently
git-creds	no credential helper on the effective cascade (control: one IS detected when present); /home/david does not resolve; the file:// target gains no ref (control: it is pushable from out here)	pass	the push legs assert on the DESTINATION, never on stderr wording — "fails on transport, not policy prose" is not readable from an error message
api-cred	HOME=/agent and /agent/.claude resolves read-only inside; A2 recorded an authenticated claude -p run	pass	the admitted secret, named: its blast radius is API usage, accepted (probe-specs P-C2). Authentication itself is A2 evidence, cited not re-run
env	no variable inside names /workspace/doctrine, /home/david/capsules or /home/david; SPIKE_CAPSULE_ROOT/SPIKE_WORKER_MODE/DOCTRINE_BIN do not cross (each proven set out here); RIG_DOORBELL does (control)	pass	asserted over VALUES as well as names — PATH is rebuilt from /nix/store entries only, so a host PATH entry under the host home would surface here
escape-git	capsule.escaped is set in the capsule's own .git/config; /capsule/hook-fired exists (control: the hook ran); no sentinel at /workspace/doctrine, /tmp or /home/david/capsules	pass	allowed and contained: hooks execute with the capsule as their whole world. Ingestion is where this matters (P-C3), and this row is what makes that a real precondition rather than an assumption
resource	status 124 and elapsed < 30s for a 600s sleep under a 3s bound; status 4 for a 64MiB write under an 8MiB cap; both controls (a short run and a small write) succeed	pass	STATUSES, not tokens — the bounds are trusted-side and emit no vocabulary (I5). PHASE-02 probe-capsule bounds carries the exhaustive treatment, including the sparse-oversize leg that separates ulimit -f from du, and both capsule kinds; this row is the P-C2 matrix entry EX-6 requires
p-c2: 2026-08-03T04:17:55Z	in-jail	rows=write-floor canonical git-creds api-cred env escape-git resource
write-floor	sentinel absent at /workspace/doctrine, /tmp and /home/david/capsules; present at the capsule root (control)	pass	writes outside the rw bind reach nowhere; /tmp is a tmpfs inside, so the write succeeds and is simply invisible — the observable is the host path, never the write status
canonical	/workspace/doctrine, /home/david/capsules and /home/david/capsules/fixtures/light/repo do not resolve inside; git -C <canonical> finds no repository; /nix/store does (control)	pass	absent by construction under an allowlist floor — asserted anyway, because by-construction is exactly what a later profile edit breaks silently
git-creds	no credential helper on the effective cascade (control: one IS detected when present); /home/david does not resolve; the file:// target gains no ref (control: it is pushable from out here)	pass	the push legs assert on the DESTINATION, never on stderr wording — "fails on transport, not policy prose" is not readable from an error message
api-cred	HOME=/agent and /agent/.claude resolves read-only inside; A2 recorded an authenticated claude -p run	FAIL	the admitted secret, named: its blast radius is API usage, accepted (probe-specs P-C2). Authentication itself is A2 evidence, cited not re-run
env	no variable inside names /workspace/doctrine, /home/david/capsules or /home/david; SPIKE_CAPSULE_ROOT/SPIKE_WORKER_MODE/DOCTRINE_BIN do not cross (each proven set out here); RIG_DOORBELL does (control)	pass	asserted over VALUES as well as names — PATH is rebuilt from /nix/store entries only, so a host PATH entry under the host home would surface here
escape-git	capsule.escaped is set in the capsule's own .git/config; /capsule/hook-fired exists (control: the hook ran); no sentinel at /workspace/doctrine, /tmp or /home/david/capsules	pass	allowed and contained: hooks execute with the capsule as their whole world. Ingestion is where this matters (P-C3), and this row is what makes that a real precondition rather than an assumption
resource	status 124 and elapsed < 30s for a 600s sleep under a 3s bound; status 4 for a 64MiB write under an 8MiB cap; both controls (a short run and a small write) succeed	pass	STATUSES, not tokens — the bounds are trusted-side and emit no vocabulary (I5). PHASE-02 probe-capsule bounds carries the exhaustive treatment, including the sparse-oversize leg that separates ulimit -f from du, and both capsule kinds; this row is the P-C2 matrix entry EX-6 requires
p-c2: 2026-08-03T04:36:53Z	in-jail	rows=write-floor canonical git-creds api-cred env escape-git resource
write-floor	sentinel absent at /workspace/doctrine, /tmp and /home/david/capsules; present at the capsule root (control)	pass	writes outside the rw bind reach nowhere; /tmp is a tmpfs inside, so the write succeeds and is simply invisible — the observable is the host path, never the write status
canonical	/workspace/doctrine, /home/david/capsules and /home/david/capsules/fixtures/light/repo do not resolve inside; git -C <canonical> finds no repository; /nix/store does (control)	pass	absent by construction under an allowlist floor — asserted anyway, because by-construction is exactly what a later profile edit breaks silently
git-creds	no credential helper on the effective cascade (control: one IS detected when present); /home/david does not resolve; the file:// target gains no ref (control: it is pushable from out here)	pass	the push legs assert on the DESTINATION, never on stderr wording — "fails on transport, not policy prose" is not readable from an error message
api-cred	HOME=/agent; the credential reads and is refused on append, truncate and unlink, against a positive control writing beside it; A2 recorded an authenticated claude -p run	pass	the admitted secret, named: its blast radius is API usage, accepted (probe-specs P-C2). The legs name the FILE, not its directory (F-P06-8). Authentication itself is A2 evidence, cited not re-run
env	no variable inside names /workspace/doctrine, /home/david/capsules or /home/david; SPIKE_CAPSULE_ROOT/SPIKE_WORKER_MODE/DOCTRINE_BIN do not cross (each proven set out here); RIG_DOORBELL does (control)	pass	asserted over VALUES as well as names — PATH is rebuilt from /nix/store entries only, so a host PATH entry under the host home would surface here
escape-git	capsule.escaped is set in the capsule's own .git/config; /capsule/hook-fired exists (control: the hook ran); no sentinel at /workspace/doctrine, /tmp or /home/david/capsules	pass	allowed and contained: hooks execute with the capsule as their whole world. Ingestion is where this matters (P-C3), and this row is what makes that a real precondition rather than an assumption
resource	status 124 and elapsed < 30s for a 600s sleep under a 3s bound; status 4 for a 64MiB write under an 8MiB cap; both controls (a short run and a small write) succeed	pass	STATUSES, not tokens — the bounds are trusted-side and emit no vocabulary (I5). PHASE-02 probe-capsule bounds carries the exhaustive treatment, including the sparse-oversize leg that separates ulimit -f from du, and both capsule kinds; this row is the P-C2 matrix entry EX-6 requires
